Group 0: 4 elements, 324.66 total area
Group 1: 3 elements, 225.94 total area
Group 2: 3 elements, 204.38 total area
Group 3: 1 elements, 75.00 total area
Group 4: 1 elements, 77.57 total area
Group 5: 3 elements, 215.45 total area
Group 6: 5 elements, 382.84 total area
Group 7: 3 elements, 235.61 total area
Group 8: 3 elements, 225.27 total area
Group 9: 1 elements, 81.20 total area
Group 10: 1 elements, 80.30 total area
Group 11: 1 elements, 78.97 total area
Group 12: 6 elements, 429.77 total area
Group 13: 1 elements, 77.13 total area
Group 14: 15 elements, 1135.40 total area
Group 15: 3 elements, 206.49 total area
Group 16: 11 elements, 753.82 total area
Group 17: 5 elements, 371.05 total area
Group 18: 1 elements, 73.19 total area
Group 19: 14 elements, 913.49 total area
Group 20: 1 elements, 85.15 total area
Group 21: 3 elements, 203.00 total area
Group 22: 4 elements, 295.94 total area
Group 23: 1 elements, 78.77 total area
Group 24: 2 elements, 137.79 total area
Group 25: 3 elements, 213.01 total area
Group 26: 2 elements, 169.62 total area
Group 27: 3 elements, 208.07 total area
Group 28: 1 elements, 70.19 total area
Group 29: 1 elements, 80.47 total area
Group 30: 1 elements, 77.39 total area
Average area: 251.19 total area
